mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,zcr,spectral_centroid,chroma,label
-315.339,49.48723,-20.457176,18.576517,-24.105803,-11.568397,-19.547985,-5.6797543,-5.0253115,-20.653065,-4.442714,-1.5915278,-6.067398,0.20412375710227273,2400.945082139619,0.39550027,bonafide
-324.17352,48.128952,-17.096294,8.430161,-20.690105,-4.6098657,-15.659206,-11.905059,-9.522194,-20.470749,-3.1752603,-6.061858,-7.5325146,0.2100328947368421,2372.9815563135085,0.41807652,bonafide
-283.08334,56.56531,-20.21979,4.504385,-24.487123,-5.9827986,-19.599794,-10.863891,-6.3878217,-17.482689,-5.792553,0.043853637,-8.786751,0.173076171875,2058.57188734623,0.3365965,bonafide
-275.0475,54.116623,-23.86049,1.3871738,-27.026789,-5.3989153,-19.274223,-10.239474,-5.9974504,-16.645672,-2.3955433,-1.938216,-7.642234,0.17806980298913044,2048.657323167022,0.3558544,bonafide
-283.20654,67.42986,-31.60753,-0.042746015,-20.393864,-4.9097877,-15.1685705,-9.759543,-3.052518,-18.114271,-4.1428,-4.4009075,-9.55418,0.1657782660590278,2037.2418108336133,0.3886592,bonafide
-341.10257,68.336975,-22.183502,-0.85391057,-22.273743,2.0955899,-14.278987,-9.467282,-5.1672325,-8.578518,-5.5074015,-6.562149,-5.6925015,0.103515625,1639.701167906566,0.36084354,bonafide
-331.58856,63.898136,-15.705179,12.401236,-22.074266,-5.669052,-13.680213,-8.197371,-8.545994,-17.704414,-4.7333817,-3.382635,-5.71002,0.13983012354651161,1959.6490847840723,0.37441462,bonafide
-360.11163,53.797585,-22.394598,10.5523815,-17.058146,-3.1795158,-9.862921,-6.7461042,-6.6207485,-14.69131,-2.7297323,-0.20804964,-5.8532777,0.13925386679292928,1998.149570025067,0.43325374,bonafide
-368.098,36.341625,7.707226,11.711192,-20.53465,-6.0679812,-9.070177,-4.3066816,-10.823361,-15.490791,-5.763399,-4.323308,-8.590002,0.21863049060314685,2478.4373185160907,0.4384874,bonafide
-345.23685,16.012133,-9.9042015,4.817891,-21.47351,0.3583736,-10.905762,-3.8541894,-4.018376,-10.748549,-1.9431361,2.652349,-8.359052,0.24302534623579544,2683.457181833148,0.4575116,bonafide
-313.14252,56.61677,-9.708812,6.429529,-27.16682,3.2607524,-16.453226,-12.275741,-10.360171,-15.594956,-7.6118035,-6.014598,-8.4014225,0.18732096354166666,2236.340598508726,0.41454545,bonafide
-335.99207,53.20562,-5.4383225,16.979008,-21.397007,-6.42821,-12.12996,-13.141244,-7.8208437,-16.568617,-5.5998054,-7.4801,-6.5591474,0.1438468873031496,2025.0466168821556,0.3549135,bonafide
-297.24802,42.876644,-10.052098,22.30828,-24.430208,-6.644151,-18.871704,-9.160336,-11.671586,-20.148636,-6.7444744,-3.3939917,-6.949169,0.18935324928977273,2308.6567547729805,0.3915801,bonafide
-383.61664,40.628326,-15.953184,12.402715,-20.027157,-2.049276,-8.899546,-4.8259883,-4.357095,-11.423524,-1.5750756,-0.46174967,-6.337293,0.14174447408536586,2052.4610343535546,0.39560115,bonafide
-319.75363,56.811092,-17.300014,7.991301,-27.294373,-0.4404135,-17.912462,-5.6234097,-8.169184,-17.726921,-6.580925,-2.7226942,-6.0840497,0.16543619791666667,2104.003015907107,0.40475655,bonafide
-289.84106,49.991596,-18.2565,21.730635,-36.00023,0.6069909,-16.290583,-14.6267395,-11.316088,-19.515919,-2.9841003,-5.968871,-5.7079096,0.17302720323741008,2137.8236763471036,0.37413335,bonafide
-329.27597,45.997196,-4.892459,4.894584,-13.774237,-2.1835413,-11.151089,-8.517355,-8.428366,-13.920733,-11.114265,-2.3409576,-6.409557,0.1788793103448276,2144.202763085393,0.36648336,bonafide
-293.70105,46.37211,-12.488185,33.455128,-29.16713,-8.120268,-15.760771,-11.447503,-10.857258,-22.266092,-6.639152,-4.6220236,-7.574827,0.15834263392857142,2133.3548294547422,0.3550809,bonafide
-311.85892,45.247906,-15.84943,9.002389,-29.773087,-2.827164,-15.151351,-7.657107,-5.507572,-13.6314125,-3.9081054,-4.792146,-5.43792,0.15165364583333332,2046.9439378029497,0.39491016,bonafide
-298.29465,54.50368,-17.979147,7.778779,-29.05307,-0.8323021,-15.968634,-7.8337474,-6.919738,-19.580349,-8.149656,-2.9031615,-5.204997,0.13699544270833333,2038.9064975296928,0.36990508,bonafide
-313.7005,57.009876,-20.619534,3.2521834,-27.788723,2.009943,-13.172221,-11.542901,-5.575017,-14.109688,-2.5094466,-2.382619,-8.565857,0.16387648809523808,1995.472293897438,0.40600348,bonafide
-273.0581,55.371483,-30.324654,21.613804,-34.54049,-7.30383,-25.67304,-11.021978,-11.32631,-18.058495,-4.1208916,-6.2218256,-5.979353,0.1628611173561151,2118.8921537015626,0.3604604,bonafide
-389.0796,39.093742,-1.30476,10.549433,-10.34914,3.4267497,-9.683576,-6.474748,-5.2989154,-10.710151,-6.1819196,-2.3375497,-5.5308595,0.15336771844660194,2141.729709039355,0.43430865,bonafide
-286.9216,53.40679,-16.585579,8.803695,-28.444838,-7.6331873,-13.945241,-16.279902,-11.24812,-17.969496,-7.538242,-5.414776,-8.652841,0.22066388811383927,2186.1232416028042,0.3925803,bonafide
-331.60947,47.08272,-11.684242,9.50904,-25.466377,-7.2131248,-17.275446,-9.852706,-9.089102,-17.545198,-9.665247,-3.6951916,-9.7119255,0.15083451704545456,2037.5547284896247,0.35646886,bonafide
-317.38742,61.197956,-16.684727,6.0217915,-22.06925,-2.6343286,-17.135572,-7.3344603,-6.64343,-13.853912,-6.289953,-4.2394524,-3.1849818,0.17527817234848486,2119.2338778957037,0.4145159,bonafide
-328.255,60.95463,-8.586141,12.9425955,-19.449429,-2.5177114,-15.896856,-14.659686,-5.9504733,-13.759684,-8.250341,-3.6739452,-4.290287,0.15234375,1878.7508389385655,0.36212987,bonafide
-357.23984,36.233246,1.1815269,6.8510804,-16.493143,-3.4007752,-11.836761,-6.377805,-9.179413,-13.728023,-5.089588,-1.1350847,-4.763018,0.1869212962962963,2222.877497641873,0.395668,bonafide
-289.59854,52.423153,-39.85299,10.95173,-28.149698,-3.4465442,-14.993518,-6.4390984,-4.533868,-13.32974,-3.8312488,-2.179806,-8.991461,0.1540387033045977,1923.6628588721107,0.38555372,bonafide
-321.6783,40.253826,-15.004084,-6.165487,-19.789423,3.0223217,-9.317497,-7.6951084,-0.6474228,-10.836561,-5.200564,-3.4498062,-4.5184307,0.19032037080223882,2383.7874523350174,0.4030945,bonafide
-305.30353,45.003166,-9.355726,20.644478,-21.412346,-7.7292347,-15.990945,-10.585764,-11.762239,-21.72607,-9.433775,-4.2551594,-7.510031,0.21073481721698112,2419.059856039142,0.36531675,bonafide
-319.37106,50.205654,-19.792603,29.510647,-28.174322,1.7367775,-12.009018,-8.78128,-8.308671,-14.56333,-6.551578,-6.7416906,-9.651997,0.14253472222222222,2042.3420840066267,0.38163635,bonafide
-348.13748,60.41232,-19.410032,13.899315,-22.472002,-6.20407,-14.015198,-9.605762,-3.1284642,-12.43134,-4.545081,-7.5502486,-6.3807178,0.11439150855654762,1806.8278832636172,0.36094114,bonafide
-348.82193,58.339905,-12.537031,3.1761851,-12.402414,-5.1702952,-15.471045,-7.9888806,-3.2368317,-11.590974,-5.1888213,-5.624276,-5.0976453,0.1369006587009804,1792.4359735404112,0.38701156,bonafide
-314.4903,52.471336,-31.444122,16.391712,-30.056915,-5.547057,-16.579113,-5.403896,-7.494043,-18.1965,-4.4629545,-5.2770658,-8.590716,0.1687525699013158,2089.6673843044287,0.3892586,bonafide
-319.74265,48.763523,-12.569765,14.784268,-21.55313,-7.0237527,-15.18595,-8.7012,-7.6530347,-21.210316,-9.205435,-2.9688983,-7.6682625,0.1826386504120879,2166.6294588032256,0.35730246,bonafide
-306.43192,35.374905,-0.9304739,25.256123,-19.009237,-9.284676,-10.459181,-9.504596,-18.81214,-19.122072,-8.984508,-6.787466,-6.652501,0.18428276909722222,2308.461537203789,0.3506399,bonafide
-289.4499,54.701073,-38.611126,5.1535554,-29.456228,2.3773892,-9.967317,-10.349287,-4.8841166,-9.742143,-6.9948745,-5.4767494,-6.3758135,0.151220703125,1981.8974278345872,0.41086847,bonafide
-277.26514,45.17083,-22.91151,20.970613,-32.044537,-0.40699843,-13.595265,-11.12222,-5.4194827,-14.837531,-5.529888,-3.9118571,-8.771201,0.17301253434065933,2217.447233433573,0.4194222,bonafide
-343.31036,45.987232,-22.564692,5.7974606,-12.616283,-2.6927733,-11.770293,-5.6420984,-6.5872784,-15.155943,-5.377778,-1.6355839,-3.7359505,0.18803267045454544,2308.4915697991614,0.41717285,bonafide
-310.57248,46.234394,-15.167542,5.578184,-28.19267,-4.19595,-14.593633,-8.637775,-7.7789307,-14.609097,-4.4193134,-0.644747,-6.7665744,0.19750632702464788,2305.6803168911265,0.37352633,bonafide
-307.71304,40.57306,-8.578365,18.776121,-23.869127,0.54418635,-14.897293,-11.335339,-10.9667225,-15.392968,-5.978384,-7.311242,-2.5071893,0.18554168051861702,2287.715137656619,0.39625242,bonafide
-299.50192,52.181496,-9.177863,6.216148,-19.251211,-0.43989334,-16.19456,-14.158069,-7.507037,-14.843269,-10.643444,-5.290114,-9.741523,0.192676608845339,2231.88580991648,0.36029887,bonafide
-304.0233,44.012806,-15.284374,25.651367,-28.52738,-1.441795,-13.60604,-11.374378,-12.667754,-20.925196,-1.1205666,-5.98448,-4.418182,0.15339176829268292,2165.289841855917,0.33693752,bonafide
-325.97287,49.31979,-20.917616,5.88672,-17.575806,-3.6987383,-16.836723,-8.069955,-6.444237,-11.955042,-8.285878,-6.398466,-4.4399405,0.1455532340116279,2024.743064427191,0.39976442,bonafide
-293.47006,41.471954,-25.748947,8.777978,-30.555475,-0.73562825,-17.191395,-11.482814,-4.5034633,-15.701275,-8.861115,-1.6193238,-5.2995543,0.17067422672193877,2244.4504564224835,0.39256817,bonafide
-363.31638,55.746677,-14.926232,13.777134,-16.297142,3.8868165,-9.528045,-5.903316,-5.951574,-9.166291,-3.1309173,-3.7639427,-6.202656,0.09249723800505051,1693.9553144310642,0.37915295,bonafide
-362.32272,41.994415,-11.145,15.808103,-22.749193,-0.29303977,-13.891178,-9.2395935,-6.4643583,-13.333358,-6.1615086,-5.61404,-8.368655,0.12070963541666667,1972.5238526430032,0.36899048,bonafide
-306.52686,44.425724,-19.216612,10.991422,-21.735563,0.24899125,-15.530648,-6.05779,-8.188153,-15.314221,-6.358419,-0.72467196,-9.576966,0.17835115131578946,2304.854528047395,0.40357143,bonafide
-333.3049,69.57383,-22.328644,16.172224,-22.71489,-3.6192,-15.886047,-13.314672,-9.547992,-16.996655,-8.617235,-8.472677,-7.2640233,0.1077117919921875,1645.7638898880107,0.3247923,bonafide
-310.48154,43.156452,-27.519825,11.208085,-24.960707,-0.83822525,-11.391013,-7.2788563,-6.2242913,-14.687787,-6.843678,-3.7671883,-6.5120587,0.1486909117879747,2107.0033994582577,0.3733535,bonafide
-317.6795,57.006874,-16.979004,2.357781,-20.399158,-0.3915551,-16.442179,-9.363123,-8.19491,-12.402769,-6.8867073,-4.238693,-7.285275,0.18209635416666667,2138.2535983156517,0.36021549,bonafide
-341.56644,46.735565,-3.9205303,7.329491,-17.412516,-5.0110307,-13.2198,-8.300855,-8.257576,-14.88375,-4.8477993,-0.8395819,-7.028037,0.18414971379950495,2244.567641525615,0.3963344,bonafide
-325.99118,55.71874,-18.353014,16.659817,-30.884008,-3.4993598,-14.768763,-11.144767,-10.834528,-18.168438,-9.261295,-7.1037183,-6.4114923,0.16165891835387325,2094.1275965050086,0.3792224,bonafide
-280.43924,53.407074,-22.479717,11.344307,-36.509975,-4.875366,-14.566231,-10.913768,-10.681474,-13.977846,-3.4484766,-5.356806,-5.656537,0.17214133522727273,2138.224229626024,0.37585214,bonafide
-267.65417,32.60727,-14.708905,12.199944,-29.084114,-5.2012005,-19.053102,-9.138629,-10.215392,-13.844361,-6.1452456,-3.2202656,-7.363494,0.24722855179398148,2768.262520101561,0.359907,bonafide
-300.53885,62.816982,-31.5168,22.236336,-28.364819,-5.819703,-23.73984,-12.730461,-10.571167,-20.132687,-3.6573064,-10.181352,-4.9937997,0.12314381318933823,1803.3921922749767,0.30901554,bonafide
-330.3559,37.1567,-16.968113,8.3971405,-18.011318,-4.494221,-14.102594,-5.0754986,-5.4693837,-12.837898,-6.223786,-1.1834314,-3.2522566,0.14410735748626374,2073.4189032600557,0.41395342,bonafide
-326.71692,60.937775,-13.843324,14.424375,-25.544065,-3.1914098,-12.865367,-11.91904,-10.420279,-17.9711,-7.0493684,-5.7320604,-6.977562,0.114677734375,1737.282834347403,0.34153265,bonafide
-345.99326,45.814526,-14.3162365,2.2364764,-17.897938,-3.7150352,-3.9602394,-11.173104,-7.281306,-16.305096,-8.738447,-3.275022,-8.340671,0.17417758118872548,2108.8984482148758,0.3727257,bonafide
-297.17105,49.322243,-18.658386,18.246996,-26.237453,-5.22197,-17.51511,-12.867839,-8.036156,-15.143925,-9.52548,-4.486763,-8.611116,0.16616303066037735,2178.2668218612876,0.36706302,bonafide
-334.5432,45.578785,-4.8021417,12.198583,-19.08721,1.7823913,-12.93298,-12.934508,-4.2550807,-16.43538,-8.999017,-1.6719788,-7.918032,0.17247755984042554,2169.190070542795,0.34273133,bonafide
-269.85934,45.950783,-16.91627,7.1955166,-13.847709,-5.140335,-18.558603,-12.938813,-8.089743,-20.422977,-6.812257,-5.6217265,-7.327223,0.18822835286458334,2203.3306882436978,0.35218558,bonafide
-307.65552,69.62368,-28.224407,8.641173,-30.35694,1.315014,-21.998163,-14.595802,-5.0004454,-15.813828,-8.659706,-5.1003156,-8.02463,0.1406078673245614,1960.444891304553,0.3748604,bonafide
-367.10352,51.597153,-10.530796,4.6783586,-17.990995,4.0029736,-14.85187,-7.497176,-6.3698115,-10.873496,-9.407937,-2.9210544,-11.323343,0.1595879916487069,2156.605769884716,0.3724488,bonafide
-316.19528,53.784286,-17.097517,19.358986,-27.615973,-5.895552,-20.290424,-9.66705,-5.088538,-18.197657,-8.07812,-4.369483,-5.9562483,0.15177734375,2006.2447818455983,0.36744142,bonafide
-303.94135,48.48223,-18.373356,7.364245,-21.740086,-10.778665,-12.306671,-8.934461,-7.281237,-15.485529,-5.912553,-1.5260541,-8.28483,0.1844052596830986,2215.8354189572833,0.37446183,bonafide
-403.7458,30.124338,-7.286349,19.410488,-13.341155,3.946314,-6.611762,-5.452852,-9.190675,-11.742817,-4.6077137,-6.320673,-6.6630306,0.1731884765625,2357.464508590136,0.4428837,bonafide
-362.89322,36.48261,-1.031488,17.796516,-15.086393,-3.5087512,-6.9665956,-11.301185,-6.3274994,-15.126789,-4.5763736,-3.8892758,-4.6077604,0.1654329700630252,2178.5806912404687,0.3618312,bonafide
-351.59512,36.774067,-5.6271863,13.019422,-28.240616,-2.1534877,-11.978409,-9.01208,-5.7876472,-17.435682,-2.652189,-1.7504231,-5.432646,0.18655904134114584,2332.123165331281,0.39146605,bonafide
-308.968,53.197636,-21.891413,22.255075,-30.149984,-5.1927605,-17.634153,-10.929982,-7.8958488,-18.58554,-6.7378664,-3.318325,-6.3362775,0.17333984375,2135.7553845686357,0.38876724,bonafide
-328.22015,62.130688,-23.254908,8.726807,-28.957811,2.2982545,-11.938674,-11.837228,-6.83525,-13.328499,-7.599056,-5.4204636,-8.736036,0.1338843368902439,1925.4540903363186,0.40219146,bonafide
-285.98483,45.011723,-5.0052543,14.667588,-22.104227,2.1955738,-16.295395,-15.070852,-14.216018,-18.512253,-6.2451887,-7.1027594,-4.67132,0.15054777298850575,2149.6839077753375,0.35086516,bonafide
-338.13525,46.404934,-11.803072,15.772332,-13.250102,-5.6180367,-14.242609,-6.862308,-6.3253913,-14.585814,-4.979044,-4.886399,-4.6804132,0.1669653588598901,2132.998314702338,0.4105514,bonafide
-342.11026,47.632397,-14.486645,16.829905,-23.22032,-1.5321442,-15.532669,-4.0213704,-6.8827233,-14.014,-6.16291,-3.794744,-10.208255,0.16662819602272727,2270.5566452676017,0.4077238,bonafide
-294.87506,42.052647,-15.2936325,8.705573,-25.745298,-10.434595,-17.121016,-10.242749,-10.147859,-17.089268,-6.787915,-6.0349584,-8.540829,0.2170055422008547,2407.2436383765817,0.36653632,bonafide
-330.75226,61.76077,-19.65907,0.06765112,-16.152567,-2.0037587,-18.724073,-6.4991326,-9.919012,-16.127188,-7.063795,-2.9233828,-7.3933787,0.16833965594951922,2058.617184356534,0.3685532,bonafide
-351.73645,49.188084,-17.779776,5.150157,-17.599205,-2.961293,-11.696335,-6.48304,-3.8122163,-12.720378,-3.6229753,-1.0161505,-8.23369,0.17378373579545456,2201.675297162008,0.3935017,bonafide
-319.32355,40.491936,-22.979479,19.065144,-29.410894,-3.0567214,-20.267859,-5.5280466,-7.282153,-13.1994505,-3.8818543,-2.7733665,0.106301926,0.154052734375,2104.4144014555886,0.39643314,bonafide
-342.12747,41.129738,-6.0366917,-7.939449,-21.553282,4.4502583,-12.677163,-6.0921383,-5.160188,-10.369565,-6.236738,1.5454185,-7.055044,0.2251806640625,2439.31341627407,0.42298946,bonafide
-316.60468,55.183025,-28.849003,-7.4529123,-20.902094,3.814169,-11.300688,-4.601619,-0.5083797,-9.100367,-6.361396,-4.315474,-5.601644,0.14313898859797297,1992.3642281856878,0.41605744,bonafide
-320.5484,50.800533,-14.40368,-2.5793054,-33.180355,2.8899798,-17.774673,-9.198639,-2.8387372,-16.432056,-6.7209463,-1.6268908,-6.212283,0.16617693219866073,2137.036903932984,0.37718168,bonafide
-318.4641,60.517895,-16.067852,3.3770425,-30.329124,-3.6487353,-15.593572,-9.589259,-5.6699424,-14.986328,-6.4897957,-0.90676135,-5.1763897,0.13216255806587837,1899.7703775546738,0.36485028,bonafide
-307.56143,58.139893,-14.887204,2.9105492,-27.734707,-1.8053658,-16.48715,-11.505321,-5.7464523,-18.811472,-9.795822,-3.828175,-7.8622684,0.17365426728219696,2109.5735689109824,0.37098578,bonafide
-289.21893,51.779827,-19.035559,28.083645,-31.522379,-7.4562726,-19.474405,-12.690097,-11.003645,-19.503868,-6.31685,-8.563282,-7.818816,0.20608077886450382,2448.075821677635,0.37391356,bonafide
-327.265,47.212208,-8.886583,11.536313,-25.81692,-9.009499,-13.010903,-7.2992835,-9.347929,-16.396343,-3.9153082,-2.141615,-7.676154,0.1771142578125,2249.118991748398,0.35823524,bonafide
-300.98688,52.862297,-16.051136,-0.09187867,-29.155058,3.4322388,-18.584156,-10.078126,-4.4132824,-16.145626,-8.644297,-2.1773112,-7.168834,0.1459017200630252,2049.5888529068275,0.39959916,bonafide
-302.09937,46.879616,-15.247296,0.65005004,-32.93529,-1.8726424,-13.3422,-11.275317,-7.2073817,-13.030612,-2.140137,0.21865194,-5.0164046,0.14386584712009803,2077.8893269326995,0.40054786,bonafide
-289.36374,31.48982,-22.857311,0.83825576,-23.152529,-3.8739676,-18.403122,-7.8482366,0.20266205,-14.519554,-7.771811,-1.6747688,-5.7375035,0.17848802649456522,2290.1946319415006,0.37589628,bonafide
-369.24844,32.709904,-20.42234,17.625212,-23.816265,0.8285026,-15.875199,-2.7265615,-6.235103,-12.778577,-3.2647164,-1.6448569,-6.177048,0.15512917258522727,2304.6538883754592,0.4087704,bonafide
-336.91284,50.30263,-11.330113,2.8790853,-16.089533,-1.2156134,-16.808382,-9.485027,-5.535113,-14.913216,-6.4232683,-2.7443936,-8.125378,0.199658203125,2333.1823935154475,0.40000752,bonafide
-310.3279,41.4614,-12.699324,23.8117,-32.10918,-2.970149,-16.905846,-10.522317,-10.833739,-19.849566,-5.974885,-7.557255,-7.9563503,0.1982636504120879,2500.1725981682525,0.3487075,bonafide
-407.3159,51.156948,-5.3925157,1.8656625,-16.318882,4.221785,-7.9247603,-6.140032,-4.607089,-11.119525,-7.444466,-2.9550545,-7.5020504,0.12410261824324324,1947.6343892320087,0.39408252,bonafide
-350.7171,62.17923,-11.730721,3.516898,-17.363794,0.021132838,-13.55265,-15.843328,-4.1575613,-15.533479,-8.214917,-5.1180034,-6.286012,0.14708262950450451,2000.3546083131037,0.38003883,bonafide
-304.5591,58.287342,-32.404774,4.2554646,-27.791876,1.4040935,-15.41179,-9.388816,-6.6887903,-11.404453,-9.139808,-4.5202165,-8.719647,0.14479136244158877,1935.7012085543577,0.40376657,bonafide
-346.90598,31.965122,-7.4121947,17.60803,-20.460506,-4.8721457,-7.911043,-7.67952,-12.724071,-14.264103,-6.455454,-5.335025,-1.8270915,0.17759422019675927,2194.6057172975165,0.39197063,bonafide
-295.1427,65.52,-32.424385,-2.082879,-27.24243,0.736713,-16.88993,-11.632395,-5.777332,-11.456828,-4.6886883,-2.8971612,-5.7981,0.1471218532986111,1971.0045412276656,0.37572092,bonafide
-356.41522,69.63852,-26.495047,10.515669,-29.472857,1.6784021,-14.109753,-11.901075,-7.1506586,-14.003225,-9.193761,-6.1793337,-9.972547,0.1364990234375,1834.4170006897991,0.3906479,bonafide
-319.26642,53.273113,-29.506773,15.3359375,-30.86085,-2.9792109,-19.383495,-9.7633,-6.627184,-17.47869,-3.5230088,-7.366488,-4.7681184,0.16380440848214287,2120.0996047958565,0.39237234,bonafide
-282.61972,54.39024,-25.104498,14.775926,-26.33647,-5.4583306,-18.743555,-12.717152,-11.253642,-17.513176,-6.6140003,-5.007077,-8.216162,0.159759521484375,2097.5988608009334,0.40033695,bonafide
-315.8758,65.98894,-19.527914,18.814007,-25.517952,-3.4838428,-20.750505,-10.858953,-8.773988,-16.964706,-9.093587,-5.019485,-6.5275626,0.11509896927521009,1773.9952065978316,0.33968908,bonafide
-327.12732,53.79064,-7.415668,23.620836,-16.422062,-6.012766,-16.105219,-12.487851,-12.041006,-18.868402,-6.680849,-7.6283665,-8.051533,0.1466557928856383,2111.2339305581772,0.3744382,bonafide
-310.18094,49.00288,-29.408335,13.517525,-29.256836,-4.2600174,-9.736329,-9.821347,-11.5616665,-17.629074,-3.9316409,-5.5670266,-6.81321,0.1783870774872449,2238.940469848821,0.38301015,bonafide
-310.48898,71.95104,-19.672558,11.701164,-32.924362,-3.2440572,-17.643847,-13.712953,-9.378576,-20.00434,-6.9358373,-5.33175,-8.300605,0.13000670475746268,1796.837748618201,0.34371516,bonafide
-335.0631,50.77584,-2.2623563,7.073415,-18.625134,-2.1123273,-13.395446,-9.607064,-9.464187,-15.111802,-3.4492018,-1.7850795,-6.3574686,0.15648005558894232,2083.2496886229083,0.39239582,bonafide
-342.27338,67.38487,-18.358652,-3.81025,-19.378624,10.11447,-9.622564,-9.1411,-2.6329613,-10.772873,-9.21078,-3.1497843,-6.584441,0.09956287202380952,1686.7895881954064,0.44246355,bonafide
-279.95367,50.766098,-15.775938,16.059631,-23.569305,-6.5390344,-18.593761,-9.738959,-13.542261,-16.300194,-6.0489793,-2.052444,-4.6457405,0.1892112660630841,2228.9151634173622,0.36551976,bonafide
-349.38458,70.960144,-25.84982,6.561518,-17.552382,-0.53722197,-11.784826,-7.4373646,-4.0313377,-9.520946,-4.5412755,-4.5033317,-10.023151,0.10047457510964912,1716.2168948882872,0.4269974,bonafide
-315.22397,62.290546,-22.044449,16.74922,-23.726831,-2.1683788,-14.073894,-10.542243,-8.1827545,-16.357645,-2.4051373,-4.8758664,-7.569132,0.11036173502604167,1719.1779160770595,0.37647253,bonafide
-326.97797,39.340157,-13.995846,7.4532247,-15.78842,-1.9606007,-18.029219,-6.8317137,-4.680256,-10.447903,-5.275524,0.27568704,-2.1187081,0.15987356085526316,2183.195601525575,0.37935337,bonafide
-367.27652,41.71414,-3.968859,5.849087,-18.777498,-0.0032140932,-11.187929,-10.603595,-4.889913,-14.694602,-5.4617805,-1.1866989,-6.4434114,0.16388260690789475,2016.1384361274054,0.37855774,bonafide
-296.05243,44.682083,-23.287825,21.008268,-30.350603,-3.1237688,-15.899296,-14.611179,-11.646346,-18.919443,-7.8781476,-9.760826,-5.705479,0.2003022693452381,2355.8776356862436,0.40944883,bonafide
-368.77405,43.007225,-18.534697,11.598343,-18.90529,-9.156547,-10.44852,-2.2245376,-6.7222066,-10.339934,-4.549512,-2.2088141,-6.798587,0.1655606356534091,2092.6618880098376,0.41092667,bonafide
-329.98236,54.688915,-3.410869,17.69424,-0.24247696,-5.9416127,-21.439661,-10.028242,-7.2061896,-10.172128,-5.344593,0.046294574,1.0797291,0.12913945895522388,1886.400413751198,0.4400852,bonafide
